,,,Composition_Formula,Heat_of_Formation_eVperMolH2,Heat_of_Formation_kJperMolH2
 Cs, Pt,, Cs2H6Pt1,-0.389186524,-37.55077849
 Cs, Pt,, Cs3H5Pt1,-0.334176324,-32.24310287
 Ba, Re,, Ba1Re1H7,-0.120587531,-11.63492407
 Ba, Re,, Ba1Re1H9,-0.26661906,-25.72481994
 Ba, Os,, Ba2H6Os1,-0.522367336,-50.40076911
 Ba, Ir,, Ba3H12Ir2,-0.549668914,-53.03497006
 Ba, Pt,, Ba2H6Pt1,-0.544600714,-52.54596324
,,,,,
 Li, Na, Al, Na2Li1Al1H6,-0.242638669,-23.41106482
 Li, Mg, Al, Li1Mg1Al3H12,-0.063451703,-6.122156568
 Li, Mg, Al, Li1Mg10Al1H24,-0.172684451,-16.66151108
 Li, Mg, Al, Li1Mg1Al1H6,-0.179344144,-17.30407357
 Li, Mg, Ru, Li1Mg2H7Ru1,-0.34562842,-33.34806182
 Li, Mg, Os, Li1Mg4H13Os2,-0.341031279,-32.90450529
 Li, Mg, Ir, Li1Mg1H6Ir1,-0.403498362,-38.9316605
 Li, Al, K, K2Li1Al1H6,-0.275248958,-26.55747827
 Na, Mg, Ni, Na2Mg2Ni1H6,-0.258485873,-24.94008705
 Na, Al, K, K2Na1Al1H6,-0.251567716,-24.27258659
 Na, Al, K, K1Na2Al1H6,-0.038835699,-3.747074067
 Na, Al, Cs, Cs2Na1Al1H6,-0.235663492,-22.73806276
 Na, K, Tl, K6Na15Tl18H1,-0.152709497,-14.73422164
 Na, Ca, Ir, Na1Ca1H6Ir1,-0.555633322,-53.61044772
 Na, Ga, Cs, Cs2Na1Ga1H6,-0.133949189,-12.92412768
 Na, Pd, Ba, Ba1Na1H3Pd1,-0.432754303,-41.75442874
 Na, In, Cs, Cs2Na1In1H6,-0.113797526,-10.97978847
 Na, Ba, Ir, Ba1Na1H6Ir1,-0.525746609,-50.72681933
 Mg, Ca, Fe, Ca4Mg4Fe3H22,-0.418648694,-40.39344487
 Mg, Ca, Ni, Ca1Mg1Ni1H4,-0.415600718,-40.09935991
 Mg, Fe, Sr, Sr1Mg2Fe1H8,-0.378715998,-36.54052668
 Mg, Fe, Ba, Ba1Mg2Fe1H8,-0.374766145,-36.1594239
 Mg, Fe, Yb, Yb4Mg4Fe3H22,-0.449098054,-43.33136048
 Mg, Ni, Sr, Sr1Mg1Ni1H4,-0.427891074,-41.28519864
 Mg, Ni, Y, Y1Mg1Ni4H4,-0.213524461,-20.6019717
 Mg, Ni, La, La1Mg2Ni1H7,-0.363795671,-35.10093447
 Mg, Ni, La, La2Mg1Ni2H8,-0.445726538,-43.00605876
 Mg, Ni, Eu, Eu1Mg1Ni1H4,-0.479207988,-46.23652644
 Mg, Ni, Yb, Yb1Mg1Ni1H4,-0.440760192,-42.52687934
 Mg, Ru, Ba, Ba1Mg2H8Ru1,-0.413625417,-39.90877246
 Mg, Ba, Os, Ba1Mg2H8Os1,-0.410794217,-39.63560324
 Al, Co, Zr, Zr6Al2Co1H10,-0.439236789,-42.37989339
 Al, Ni, Zr, Zr6Al2Ni1H10,-0.450631684,-43.47933325
 Al, Ni, La, La2Al1Ni9H1,-0.355762763,-34.32587694
 Al, Ni, La, La2Al1Ni9H2,-0.343050085,-33.0992904
 Al, Ni, La, La2Al1Ni9H12,-0.083446059,-8.051317997
 Al, Cu, Zr, Zr6Al7Cu16H9,-0.315916392,-30.48128784
 Al, Ga, Cs, Cs2Al1Ga1H6,-0.069319345,-6.68829778
 Al, Rb, In, Rb2Al1In1H6,-0.070480891,-6.800369942
 Al, Rb, Tl, Rb2Al1Tl1H6,-0.099886638,-9.637592215
 Al, In, Cs, Cs2Al1In1H6,-0.084236657,-8.127599152
 Al, Cs, Tl, Cs2Al1Tl1H6,-0.115551567,-11.14902759
 Al, Ce, Ir, Ce1Al1H2Ir1,-0.644247694,-62.16043207
 Ca, Ga, Sn, Ca1Ga1Sn1H1,-0.401850354,-38.77265191
 Fe, Co, Nd, Nd2Fe15Co2H3,-0.024866643,-2.399265512
 Ni, Zr, Sn, Zr6Ni1Sn2H10,-0.472742402,-45.61269249
 Ni, Sn, La, La1Ni1Sn1H1,-0.636500348,-61.41292702
 Ni, Sn, La, La1Ni1Sn1H2,-0.598484607,-57.74496683
 Ni, Sn, Ce, Ce1Ni1Sn1H1,-0.598108864,-57.70871319
 Ni, Sn, Ce, Ce1Ni1Sn1H2,-0.557389539,-53.77989686
 Ni, Sn, Pr, Pr1Ni1Sn1H1,-0.614691354,-59.30867965
 Ni, Sn, Pr, Pr1Ni1Sn1H2,-0.558747292,-53.91090007
 Ni, Sn, Nd, Nd1Ni1Sn1H1,-0.626763591,-60.47347311
 Ni, Sn, Nd, Nd1Ni1Sn1H2,-0.556356967,-53.68026889
 Zn, Sn, Ce, Ce2Zn2Sn2H3,-0.426038298,-41.10643298
 Ga, Sr, Sn, Sr1Ga1Sn1H1,-0.477398701,-46.06195689
 Ga, Sn, Ba, Ba1Ga1Sn1H1,-0.525074801,-50.6619997
 Ga, Cs, Tl, Cs2Tl1Ga1H6,-0.025078779,-2.419733545
 In, Cs, Tl, Cs2Tl1In1H6,0.002693507,0.259883849
