Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3
44,A2B,Zr2Ni,1.3,183,604,0.003,"Pebler, 1966",12,,,
45,A2B,Zr2Ni,1.3,,,,"Trzeciak, 1956",483,,,
46,A2B,Zr2Ni,1.8,,,,"van Essen, 1979",386,,,
47,A2B,Zr2Ni,2,,,,"Akopyan, 1983",496,,,
48,A2B,Zr2Pd,0.9,,,,"Maeland, 1980",428,,,
49,A2B,Zr2Pd,1.6,,25,0.1,"Spada, 1987",424,,,
50,A2B,Zr2Pd (M),1.9,,20,500,"Klyamkin, 1994",595,,(2000 atm at 20Â°C),
51,A2B,Zr2Rh,1.5,,,,"Suryanarayana, 1994",596,,,
52,A2B,ZrTiNi,1.9,,,,"Semenenko, 1980",511,,,
53,A2B,(Hf.2Zr.8)2Fe,1.5,,,,"Zavaliy, 1998",829,,,
54,A2B,(Hf.4Zr.6)2Fe,1.6,,,,"Zavaliy, 1998",829,,,
55,A2B,(Hf.6Zr.4)2Fe,1.4,,,,"Zavaliy, 1998",829,,,
56,A2B,(Hf.8Zr.2)2Fe,1.3,,,,"Zavaliy, 1998",829,,,
57,A2B,Er2Al,1.1,,,,"Semenenko, 1985",1151,,(Amorp),
58,A2B,Eu2Ir,1,,,,"Moyer, 1980",457,,,
59,A2B,Hf2Co,0.7,,,,"Mukai, 1999",1230,,,
60,A2B,Hf2Co,0.9,,50,5-Oct,"van Essen, 1979",386,,,
61,A2B,Hf2Co,0.9,,,,"Jones, 1980",430,,,
62,A2B,Hf2Co,1.1,,,,"Beck, 1962",45,,,
63,A2B,Hf2Cu,0.4,,,,"Mukai, 1999",1230,,,
64,A2B,Hf2Cu,0.7,,,,"Maeland, 1980",428,,,
65,A2B,Hf2Cu,0.7,,50,5-Oct,"van Essen, 1979",386,,,
66,A2B,Hf2Cu (M),1.5,,20,1500,"Klyamkin, 1994",595,,(2000 atm at 20Â°C),
67,A2B,Hf2Fe,0.75,,50,5-Oct,"van Essen, 1979",386,,,
68,A2B,Hf2Fe,0.8,,,,"Mukai, 1999",1230,,,
69,A2B,Hf2Fe,1.2,,,,"Forker, 1999",1227,,,
70,A2B,Hf2Fe,1.1,60 - 80,277,0.38,"Aubertin, 1989",425,,,
71,A2B,Hf2Fe,1.2,,,,"Zavaliy, 1998",829,,,
72,A2B,Hf2Fe,1.2,,22,1500,"Klyamkin, 1997",655,,2000 atm at 22Â°C,
73,A2B,Hf2Mn,0.95,,50,5-Oct,"van Essen, 1979",386,,,
74,A2B,Hf2Mn,1.1,,,,"Beck, 1962",45,,,
75,A2B,Hf2Ni,0.7,,,,"Mukai, 1999",1230,,,
76,A2B,Hf2Ni,0.75,,50,5-Oct,"van Essen, 1979",386,,,
77,A2B,Hf2Ni.5Cu.5,0.7,,,,"Klyamkin, 1999",1231,,P=10 atm,
78,A2B,Hf2Ni.5Fe.5,1.2,,,,"Klyamkin, 1999",1231,,P=10 atm,
79,A2B,Hf2Ni.5Mn.5,1.2,,,,"Klyamkin, 1999",1231,,P=10 atm,
80,A2B,Hf2Ni.5Mn.5,1.2,,,,"Klyamkin, 1997",655,,2000 atm at -78Â°C,
81,A2B,Hf2Pd,0.3,,,,"Mukai, 1999",1230,,,
82,A2B,Hf2Pd,0.4,,,,"Maeland, 1980",428,,,
83,A2B,Hf2Pd (M),1,,20,1000,"Klyamkin, 1994",595,,(2000 atm at 20Â°C),
84,A2B,Hf2Pt,0.25,,,,"Beck, 1962",45,,,
85,A2B,Hf2Rh,0.45,,50,5-Oct,"van Essen, 1979",386,,,
86,A2B,Hf2Rh,0.5,,,,"Jones, 1980",430,,,
87,A2B,Ho2Al,1.2,,,,"Semenenko, 1985",1151,,(Amorp),
88,A2B,Mg1.5Ni,2.6,29.1,300,3.7,"Kuji, 2002",1492,,Ball milled,
89,A2B,Mg1.75Ni,2.8,26.6,300,4.5,"Kuji, 2002",1492,,Ball milled,
90,A2B,Mg1.75Ti.25Ni.75Cu.25,2,,300,2.3,"Yuan, 1999",1229,,,
91,A2B,Mg1.92Al.08Ni,3.5,70.5,295,4,"Hirata, 1983",427,,,
92,A2B,Mg1.9Al.1Ni,3.5,,250,1,"Tsushio, 1998",830,,,
93,A2B,Mg1.9Al.1Ni.8Co.2,,,250,0.42,"Tsushio, 1998",830,,,
94,A2B,Mg1.9Al.1Ni.8Cu.2,,,250,1.7,"Tsushio, 1998",830,,,
95,A2B,Mg1.9Al.1Ni.8Mn.2,,,250,0.95,"Tsushio, 1998",830,,,
96,A2B,Mg1.9B.1Ni,2.8,,250,0.9,"Tsushio, 1998",830,,,
97,A2B,Mg1.9Ca.1Ni.8Cu.2,,,250,1.4,"Tsushio, 1998",830,,,
98,A2B,Mg1.9Si.1Ni,2.9,,250,1,"Tsushio, 1998",830,,,
99,A2B,Mg1.9Ti.1Ni,2.9,62.5,300,2.5,"Liang, 1999",1226,Nanocrystalline,,
100,A2B,Mg1.9Ti0.1Ni0.9Mn0.1,3.1,,250,0.8,"Yuan, 2001",1489,,,
101,A2B,Mg2Co,4.5,,,,"Selvam, 1991",426,(Mg2Co phase not stable without H),,
102,A2B,Mg2Co,4.5,76,450,16,"Reiser, 2000",1463,Mg2Co not stable without H,,
103,A2B,Mg2Co (M),4.2,108,418,5.7,"Yoshida, 1993",594,(Mg2Co phase not stable without H),,
104,A2B,Mg2Cu,2.6,72.9,295,6,"Reilly, 1967",87,,,
105,A2B,Mg2Fe,5.5,,,,"Selvam, 1991",426,(Mg2Fe phase not stable without H),,
106,A2B,Mg2Fe,5.5,77.2,450,25,"Reiser, 2000",1463,Mg2Fe not stable without H,,
107,A2B,Mg2Ni,3.1,,300,1,"Dehouche, 1998",854,Nanocrystalline,,
108,A2B,Mg2Ni,3.1,31.3,300,3.7,"Kuji, 2002",1492,,Ball milled,
109,A2B,Mg2Ni,3.2,61,250,1.1,"Yang, 2002",1493,,Ball milling + diffusion synthesis,
110,A2B,Mg2Ni,3.3,67,300,2.2,"Liang, 1999",1226,Nanocrystalline,,
111,A2B,Mg2Ni,3.3,65.9,300,3.2,"Sun, 1999",1228,Solid-state synthesized,,
112,A2B,Mg2Ni,3.3,63.2,300,3.1,"Song, 1998",1224,,,
113,A2B,Mg2Ni,3.5,64.4,180,0.09,"Guthrie, 1998",863,Vapor synthesized,Non-twinned,
114,A2B,Mg2Ni,3.5,64.4,180,0.07,"Guthrie, 1998",863,Vapor synthesized,Twinned,
115,A2B,Mg2Ni,3.5,68.6,180,0.05,"Guthrie, 1998",863,Melted,Twinned,
116,A2B,Mg2Ni,3.5,,250,1.1,"Tsushio, 1998",830,,,
117,A2B,Mg2Ni,3.6,64.5,299,3.2,"Reilly, 1968",88,,,
118,A2B,Mg2Ni,3.6,64.6,300,2.5,"Lutz, 1977",420,,,
119,A2B,Mg2Ni,3.6,68.8,180,0.06,"Guthrie, 1998",863,Melted,Non-twinned,
120,A2B,Mg2Ni,3.6,71.3,300,2.6,"Li, 2000",1236,Hydriding combustion synthesis,,
121,A2B,Mg2Ni,3.7,62.2,450,57,"Reiser, 2000",1463,,,
122,A2B,Mg2Ni,4.4,,,,"Chen, 2002",1491,,"P=60,000 atm (LiAlH4 H2 source)",
123,A2B,Mg2Ni,5.2,,,,"Chen, 2000",1234,,"P=60,000 atm @ 600C",
124,A2B,Mg2Ni.75Co.25,3.1,64.5,279,1,"Darnaudery, 1983",418,,,
125,A2B,Mg2Ni.75Co25,3.4,,300,1,"Yang, 2000",1233,,,
126,A2B,Mg2Ni.75Cr.25,3,59.9,248,1,"Darnaudery, 1983",418,,,
127,A2B,Mg2Ni.75Cu.25,,53.2,227,1,"Darnaudery, 1983",418,,,
128,A2B,Mg2Ni.75Fe.25,2.8,63.2,253,1,"Darnaudery, 1983",418,,,
129,A2B,Mg2Ni.75Fe.25 (M),3.3,65.2,300,1.9,"Yuan, 1997",828,,Includes free Mg,
130,A2B,Mg2Ni.75V.25,2.9,62.4,250,1,"Darnaudery, 1983",418,,,
131,A2B,Mg2Ni.75Zn.25,3.3,61.5,246,1,"Darnaudery, 1983",418,,,
132,A2B,Mg2Ni0.75Co0.25,3.2,61,250,0.5,"Yang, 2002",1493,,Ball milling + diffusion synthesis,
133,A2B,Mg2Ni0.75Cr0.25,3.2,61,250,0.9,"Yang, 2002",1493,,Ball milling + diffusion synthesis,
134,A2B,Mg2Ni0.75Cu0.25,3.2,59,250,1.2,"Yang, 2002",1493,,Ball milling + diffusion synthesis,
135,A2B,Mg2Ni0.75Fe0.25,3.2,60,250,1,"Yang, 2002",1493,,Ball milling + diffusion synthesis,
136,A2B,Mg2Ni0.75Mn0.25,3.2,58,250,1,"Yang, 2002",1493,,Ball milling + diffusion synthesis,
137,A2B,Mg2Ni0.75Ti0.25,3.2,56,250,1.2,"Yang, 2002",1493,,Ball milling + diffusion synthesis,
138,A2B,Mg2Ni0.75Ti0.25,3.2,59,250,1.3,"Yang, 2002",1493,,Ball milling + diffusion synthesis,
139,A2B,Mg2Ni0.7Zr0.3,3.5,59.8,340,10,"Zhang, 1998",1465,,,
140,A2B,Mg2Ni1-xZrx,3.2,59.8 - 64,248 - 253,1,"Zhang, 1998",1465,x=0 to 0.3,,
141,AB,ScAl,1.1,,,,"Semenenko, 1985",1151,,,
142,AB,SmMg,,,,,"Beck, 1962",45,,,
143,AB,ThCo,1.2,,,,"Beck, 1962",45,,,
144,AB,ThCo,1.4,46.8,40,0.05,"Buschow, 1975",187,,,
145,AB,ThNi,1.2,45.3,40,0.01,"Buschow, 1975",187,,,
146,AB,Ti.42Zr.08Fe.50,0.7,,50,12,"Rajalakshmi, 1999",1221,,,
147,AB,Ti.46Fe.45V.05Mn.05,1.7,28.6,22,2,"Mitrokhin, 1993",396,,,
148,AB,Ti.48Fe.47V.025Mn.025,1.7,,22,2,"Verbetsky, 1998",1219,,,
149,AB,Ti.96Zr.04Fe.95Nb.04,1.7,31.8,30,1.4,"Sasai, 1983",79,,,
150,AB,Ti.9Fe.9B.2,1.5,7.6,27,14,"Rajalakshmi, 1998",852,,,
151,AB,Ti.9La.1Co,1.5,60,150,3.2,"Kato, 1981",83,,,
152,AB,Ti.9Zr.1Fe,1,28.9,30,3.3,"Jang, 1986",397,,,
153,AB,Ti1.1Fe,1.6,,50,5,"Lee, 2000",1223,,,
154,AB,Ti1.1FeB.001,1.1,,50,10,"Lee, 2000",1223,,,
155,AB,Ti1.1FeC.001,1.3,,50,6,"Lee, 2000",1223,,,sloping plateau
156,AB,Ti1.3Fe,1.9,,25,2,"Ma, 2000",1222,,,sloping plateau
157,AB,Ti1.3Fe + 1.5 wt.% Mm,1.6,,25,1.5,"Ma, 2000",1222,,,sloping plateau
158,AB,Ti1.3Fe + 6 wt.% Mm,1.8,,25,1.5,"Ma, 2000",1222,,,sloping plateau
159,AB,Ti1-xCuxFe,0.8,,30,0.8 - 3,"Nagai, 1986",392,(x = 0.02-0.1; + 0.5%Fe2O3),,
160,AB,Ti1-xNbxFe,1,,30,2.5 - 4,"Nagai, 1986",392,(x = 0.04-0.12; + 1.0%Fe2O3),,
161,AB,Ti1-xVxFe1-yMny,1.5,,,,"Liu, 1982",499,"(x=0.01-0.04, y=0-0.2)",,
162,AB,Ti1-xZrxFe,1,,30,7-Mar,"Jang, 1986",397,(x = 0-0.2),,
163,AB,Ti1-xZrxFe,1.6,,40,2.5 - 4.5,"Nishimiya, 2000",1217,x=0.1-0.5,,no plateau at x=0.5
164,AB,TiAg,,,,,"Beck, 1962",45,,,
165,AB,TiAl,0.7,,,,"Semenenko, 1982",532,,,
166,AB,TiCo,1.1,61.1,150,2.2,"Someno, 1979",381,,,
167,AB,TiCo,1.3,57.8,150,2.2,"Osumi, 1980",80,,,
168,AB,TiCo,1.4,57.4,155,4,"Yamanaka, 1975",73,,,
169,AB,TiCo (M),0.7,,116,5.2,"Reilly, 1976",490,,,
170,AB,TiCo (M),1.45,54,152,2,"Burch, 1979",500,,,
171,AB,TiCo.5Fe.5,1.1,42.3,100,4,"Suzuki, 1981",82,,,
172,AB,TiCo.5Mn.5,1.6,46.9,120,3.2,"Osumi, 1980",80,,,
173,AB,TiCo.8V.2,1.8,,,,"Verbetsky, 1986",1153,,,
174,AB,TiCo.9V.1,1.5,,,,"Verbetsky, 1986",1153,,,
175,AB,TiCo1-yFey,1.1,42 - 58,150,2.8 - 18,"Suzuki, 1981",82,(x = 0-0.5),,
176,AB,TiCo1-yMny,1.3,47 - 58,150,2.2 - 9,"Osumi, 1980",80,,,
177,AB,TiCu,0.4,,,,"Beck, 1962",45,,,
178,AB,TiCu,0.6,,500,0.19,"Arita, 1979",495,,,
179,AB,TiCu,1.3,,500,0.2,"Someno, 1979",381,,,
180,AB,TiCu,1.7,75,200,0.004,"Maeland, 1978",389,,,
181,AB,TiCu,1.8,,,,"Pauurets, 1982",498,,,
182,AB,TiCu,1.8,,,,"Yamanaka, 1975",73,,,
183,AB,TiCu (M),1.6,126,500,0.15,"Kadel, 1978",523,,,
184,AB,TiFe (+4.5 w/o Mm),1.6,,27,3,"Bronca, 1985",549,,,
185,AB,TiFe (1 w/o Mm),1.7,,40,7,"Sandrock, 1978",321,,,
186,AB,TiFe (M),1.7,26.7,51,11,"Yamanaka, 1975",73,,,
187,AB,TiFe (M),1.9,28.1,30,5.2,"Reilly, 1974",319,,,
188,AB,TiFe.5Co.5,1.1,41.4,150,12,"Someno, 1979",381,,,
189,AB,TiFe.6Ni.4,1.5,48.6,50,0.035,"Bershadsky, 1993",395,,,
190,AB,TiFe.76Al.24,1.1,,,,"Sandrock, 1978",321,,,
191,AB,TiFe.7Mn.2,2,34.7,40,1.4,"Reilly, 1976",383,,,
192,AB,TiFe.7Mn.3,1.6,,40,1.3,"Sandrock, 1976",76,,,
193,AB,TiFe.88,2,,40,4,"Reilly, 1974",319,,,
194,AB,TiFe.8Be.2,1.4,30.5,21,0.7,"Bruzzone, 1980",421,,,
195,AB,TiFe.8Cr.2 (M),1.8,,40,0.4,"Reilly, 1976",490,,,
196,AB,TiFe.8Ni.15Nb.05,1.1,,150,7,"Oguro, 1983",78,,,
197,AB,TiFe.8Ni.15V.05,1.3,41,150,7,"Oguro, 1983",78,,,
198,AB,TiFe.8Ni.2,1,41.9,50,0.28,"Mintz, 1981",390,,,
199,AB,TiFe.8Ni.2,1.2,,150,9,"Oguro, 1983",78,,,
200,AB,TiFe.8Ni.2,1.3,41.2,50,0.33,"Huston, 1980",77,,,
201,AB,TiFe.94Al.06,1.2,,30,5,"Lim, , 1984",548,,,
202,AB,TiFe.95Cr.05 (M),1.7,,40,4,"Reilly, 1976",383,,,
203,AB,TiFe.95Mn.05 (M),1.6,29.3,50,9,"Mintz, 1981",390,,,
204,AB,TiFe.95V.05 (M),1.7,,40,5,"Reilly, 1976",383,,,
205,AB,TiFe.96Nb.04,1.7,,40,4,"Sasaki, 1981",394,,,
206,AB,TiFe.9Al.1,1.3,30,25,1.2,"Bruzzone, 1981",422,,,
207,AB,TiFe.9Al.1,1.3,,50,3,"Lee, 1999",1211,,,sloping plateau
208,AB,TiFe.9Co.1,1.5,30.6,50,5,"Lee, 1999",1211,,,
209,AB,TiFe.9Co.1,1.8,,40,3.3,"Reilly, 1976",383,,,
210,AB,TiFe.9Cr.1,1.1,30.5,150,20,"Someno, 1979",381,,,
211,AB,TiFe.9Cr.1 (M),1.7,,40,1.6,"Reilly, 1976",383,,,
212,AB,TiFe.9Cu.1,1.2,,40,2.3,"Reilly, 1976",383,,,
213,AB,TiFe.9Mn.1,1.2,27.2,100,30,"Someno, 1979",381,,,
214,AB,TiFe.9Mn.1 (M),1.9,29.5,25,2.6,"Johnson, 1978",330,,,
215,AB,TiFe.9Mo.1,1.7,,40,3,"Reilly, 1976",383,,,
216,AB,TiFe.9Ni.1,1.4,35.6,50,1.8,"Lee, 1999",1211,,,
217,AB,TiFe.9Ni.1,1.6,,40,0.9,"Reilly, 1972",195,,,
218,AB,TiFe1-yAly,1.1,21 - 29,30,8-Mar,"Lim, 1984",547,(y=0.02-0.1),,
219,AB,TiFe1-yAly,1.3,,40,7-Apr,"Sandrock, 1978",321,(y=0.04-0.1),,
220,AB,TiFe1-yAly,1.3,,50,10-Mar,"Lee, 1999",1211,y=0.025-0.1,,
221,AB,TiFe1-yCoy,1,31 - 47,150,30-Apr,"Someno, 1979",381,(y = 0.25-0.75),,
222,AB,TiFe1-yCoy (M?),,31 - 33,25,0.9 - 1.6,"Mintz, 1981",390,(y = 0.1-0.2),,
223,AB,TiFe1-yCry (M),,30 - 36,25,0.2 - 1,"Mintz, 1981",390,(y = 0.1-0.2),,
224,AB,TiFe1-yCry (M),1.6,,50,5-Feb,"Lee, 1994",391,(y = 0.05-0.1),,
225,AB,TiFe1-yMny,1.6,,27,0.5 - 2,"Mitrokhin, 1993",593,(y=0.1-0.3),,
226,AB,TiFe1-yMny,1.8,,40,6-Jan,"Johnson, 1977",393,(y = 0.1-0.3),,
227,AB,TiFe1-yMny (M),,28 - 32,25,0.8 - 3.4,"Mintz, 1981",390,(y = 0.05-0.2),,
228,AB,TiFe1-yMny (M),1.7,,50,6-Apr,"Lee, 1994",391,(y = 0.1-0.2),,
229,AB,TiFe1-yNiy,,35 - 45,25,0.005 - 0.6,"Mintz, 1981",390,(y = 0.1-0.5),,
230,AB,TiFe1-yNiy,,49 - 54,,,"Bershadsky, 1993",395,,,
231,AB,TiFe1-yNiy,1.4,,50,0.3 - 1.8,"Lee, 1999",1211,y=0.1-0.3,,
232,AB,BeNi,1.5,,,,"Chernikov, 1983",432,,,
233,AB,CeAg,,,,,"Beck, 1962",45,,,
234,AB,CeAl,0.8,,,,"Semenenko, 1985",1151,,,
235,AB,CeNi,,,,,"Beck, 1962",45,,,
236,AB,CeNi,1.8,,20,0.05 - 0.01,"Verbetsky, 1991",1156,,,
237,AB,DyAg,,,,,"Beck, 1962",45,,,
238,AB,DyAl,,,,,"Beck, 1962",45,,,
239,AB,ErAg,0.3,35.2,790,0.01,"Philipp, 1991",384,,,
240,AB,ErNi,1.4,105,,,"Ensslen, 1983",385,,,
241,AB,ErNi,1.5,,22,5-Feb,"Verbetsky, 1991",1156,,,
242,AB,GdAl,,,,,"Beck, 1962",45,,,
243,AB,GdCu,,,,,"Beck, 1962",45,,,
244,AB,GdMg,1.1,,,,"Reule, 2000",1216,,,
245,AB,GdZn,0.9,,,,"Reule, 2000",1216,,,
246,AB,GdZn.9Mg.1,0.7,,,,"Reule, 2000",1216,,,
247,AB,HfAl,0.5,,50,1,"van Essen, 1979",386,,,
248,AB,HfCo,1.2,,,,"Beck, 1962",45,,,
249,AB,HfCo,1.3,43,270,1,"Nemirovskaya, 1991",606,,,
250,AB,HfCo,1.3,,,,"Mukai, 1999",1230,,,
251,AB,HfCo,1.3,59,50,0.001,"van Essen, 1979",386,,,
252,AB,HfNi,1.3,,50,0.7,"Mukai, 1999",1230,,,
253,AB,HfNi (M),1.3,40,190,1,"Nemirovskaya, 1991",606,,,
254,AB,HfNi (M),1.3,50,50,0.02,"van Essen, 1979",386,,,
255,AB,HfPd,0.2,,,,"Mukai, 1999",1230,,,
256,AB,LaAg,,,,,"Beck, 1962",45,,,
257,AB,LaAl,,,,,"Beck, 1962",45,,,
258,AB,LaCd,1.1,,,,"Beck, 1962",45,,,
259,AB,LaMg,1.8,,,,"Beck, 1962",45,,,
260,AB,LaNi,1.3,118,,,"Maeland, 1976",387,,,
261,AB,LaNi,1.5,,,,"van Mal, 1976",103,,,
262,AB,LaNi,1.6,,,,"Mikheeva, 1978",535,,,
263,AB,LaNi,1.7,,20,0.5 - 1,"Verbetsky, 1991",1156,,,
264,AB,LaNi,1.8,,,,"Oesterreicher, 1976",524,,,
265,AB,LaNi,1.9,100,,,"Busch, 1978",189,,,
266,AB,LaNi,2,126,,,"Ensslen, 1983",385,,,
267,AB,LaNi,2,,,,"Anderson, 1973",99,,,
268,AB,LaPt,0.8,,,,"Anderson, 1973",99,,,
269,AB,LaZn,,,,,"Beck, 1962",45,,,
270,AB,Li.94Pd,0.9,69.2,300,0.02,"Sakamoto, 1995",411,,,
271,AB,LiPd,0.7,75.3,,,"Nacken, 1977",388,,,
272,AB,LiPt,0.6,134,,,"Nacken, 1977",388,,,
273,AB,LuNi,1.2,100,,,"Ensslen, 1983",385,,,
274,AB,PrAg,,,,,"Beck, 1962",45,,,
275,AB,PrAl,0.7,,,,"Semenenko, 1985",1151,,,
276,AB,PrGa,,,,,"Beck, 1962",45,,,
277,AB,PrMg,,,,,"Beck, 1962",45,,,
278,AB,PrSb,0.2,,,,"Beck, 1962",45,,,
279,AB,Sc1-xTixNi,1.5,,25,0.1,"Balema, 2000",1215,x=0-0.5,,
280,AB,TiFe1-yPdy,1.6,,0,0.1 - 0.7,"Yamashita, 1997",654,y = 0.05-0.2,,
281,AB,TiFe1-ySiy,1.3,,40,2 - 3.5,"Sandrock, 1978",321,(y=0.02-0.1),,
282,AB,TiMn,1.9,,,,"Chernikov, 1983",432,,,
283,AB,TiNi,1.3,,200,1,"Yamanaka, 1975",73,,,
284,AB,TiNi,1.3,,200,1,"Hata, 1980",74,,,
285,AB,TiNi,1.3,,,,"Pauurets, 1982",498,,,
286,AB,TiNi,1.4,58,,,"Burch, 1979",500,,,
287,AB,TiNi,1.2,,,,"Reilly, 1966",489,,,
288,AB,TiNiCr.1,1.2,,,,"Hata, 1980",74,,,
289,AB,TiNiFe.1,1.1,,,,"Hata, 1980",74,,,
290,AB,TiNiMn.1,1.1,,,,"Hata, 1980",74,,,
291,AB,UCo,0.6,55,150,0.08,"Yamamoto, 1991",398,,,
292,AB,YAl,,,,,"Beck, 1962",45,,,
293,AB,YAl,1.2,,,,"Semenenko, 1985",1151,,,
294,AB,YbNi,1.2,147,,,"Ensslen, 1983",385,,,
295,AB,YbPd,1,67,,,"Ensslen, 1983",385,,,
296,AB,YCu,,,,,"Beck, 1962",45,,,
297,AB,YNi,,,,,"Beck, 1962",45,,,
298,AB,Zr.5Hf.5Co,1.1,76.2,200,0.2,"Konishi, 1995",858,,,
299,AB,Zr.78Ti.19Mm.03Ni.97,1.7,,232,0.4,"Sandrock, 1987",336,,,
300,AB,Zr.7Hf.3Co,1.4,80.3,200,0.03,"Konishi, 1995",858,,,
301,AB,Zr.7Ti.3Co.7Ni.3,1.1,,100,0.2,"Shimizu, 1999",1212,,,
302,AB,Zr.96Mm.04Ni.9,1.7,,232,0.13,"Sandrock, 1987",336,,,
303,AB,Zr.97Mm.03Ni.77Cu.19,1.6,,232,0.11,"Sandrock, 1987",336,,,
304,AB,Zr.97Mm.03Ni.87Al.09,1.4,,232,0.13,"Sandrock, 1987",336,,,
305,AB,Zr.97Mm.03Ni.96Sn.1,1.4,,232,0.15,"Sandrock, 1987",336,,,
306,AB,Zr1.02Ni0.98,1.6,,,,"Simonovic, 1999",1220,,,
307,AB,ZrAg (M),0.5,,280,3-Oct,"Deschanvres, 1964",497,,,
308,AB,ZrCo,1.2,90,252,0.05,"Devillers, 1989",399,,,
309,AB,ZrCo,0.7,,365,0.4,"Reilly, 1966",489,,,
310,AB,ZrCo,1.7,76.3,200,0.005,"Konishi, 1995",858,,,
311,AB,ZrCo,2,66,430,1,"Nemirovskaya, 1991",606,,,
312,AB,ZrCo (M),1.6,67,200,0.013,"Irvine, 1978",70,,,
313,AB,ZrCo.84Ni.16 (M),1.6,83,250,0.01,"Irvine, 1980",400,,,
314,AB,ZrNi,1.2,47.5,300,0.005,"Luo, 1990",550,,,
315,AB,ZrNi,1.7,40.1,250,0.2,"Cantrell, 1995",409,,,
316,AB,ZrNi,1.8,76.8,250,0.26,"Libowitz, 1958",68,,,
317,AB,ZrNi,1.9,,,,"Beck, 1962",45,,,
318,AB,ZrNi,2,64,300,1,"Nemirovskaya, 1991",606,,,
319,AB,ZrNi.8Co.2,1.8,,232,0.06,"Sandrock, 1987",336,,,
320,AB2,(Sc.4Y.4Ti.2)Co2,1.4,,,,"Burnasheva, 1981",64,,,
